elefantti	sillä on jalat	paksunahkainen	se on pitkäkärsäinen
hevonen	se on voimakas	voi hypätä esteitä	se asuu tallissa
hirvi	se on iso nisäkäs	se on riistaeläin	sillä on suuret sarvet
kameli	sitä käytetään kantojuhtana	se on hiekan värinen	sillä on kyttyrä
jänis	sillä on viikset	se on pitkäkorvainen	lisääntyy nopeasti
karhu	se on väriltään ruskea	se on kaikkiruokainen	Suomen suurin petoeläin
kenguru	se on ruskea	se on pitkähäntäinen	isot takajalat
kirahvi	se voi juosta	sillä on laikkuja	syö puiden lehtiä
kissa	sillä on korvat	pitää maidosta	raapii huonekaluja
lammas	sillä on silmät	elää laumoissa	sillä on paksu villa
lehmä	sillä on sorkat	se märehtii	sillä on utareet
leijona	sillä on pitkät hampaat	syö toisia eläimiä	uroksella on harja
orava	löytyy metsistä	se elää puissa	tuuheahäntäinen
seepra	sillä on häntä	mustavalkoinen	sillä on mustat raidat
sika	se löytyy maatilalta	se rypee mudassa	siitä tehdään pekonia
appelsiini	sillä on siemeniä	se on oranssi	käytetään tuoremehuun
avokado	tummanvihreä kuori	sisus on vihertävä	sillä on iso kivi
banaani	se on hedelmä	pitää kuoria	apinoiden ruokaa
kookos	se on ruskea	trooppisista maista	sisällä on kookosmaitoa
kurkku	25-35cm pitkä	hyvin vesipitoinen	tummanvihreä kuori
maissi	siinä on tärkkelystä	kasvaa pelloilla	Cornflakesien ainesosa
omena	sitä voi syödä	voi tippua puusta	esim. Granny Smith
peruna	ruoka-aine	sen voi kuoria	ranskalaisten ainesosa
pinaatti	se on väriltään vihreä	miedon makuinen	vihreissä letuissa
porkkana	se on oranssi	se on suippomainen	kasvaa maan alla
raparperi	sillä on pitkä varsi	happaman makuinen	isot lehdet
rypäle	kasvaa lämpimissä maissa	kasvaa köynnöksissä	kuivataan rusinoiksi
sieni	väriltään usein ruskea	kasvaa kosteilla alueilla	sillä on lakki
sipuli	ostetaan ruokakaupasta	kuullotetaan voissa	kirveltää silmiä
sitruuna	väriltään keltainen	maistuu kirpeältä	sitrushedelmä
ankkuri	tehty metallista	makaa merenpohjassa	käytetään satamassa
avain	se on pieni	sitä käännetään	lukon avaamiseen
haarukka	sitä pidetään kädessä	tarttuu ruokaan	nelipiikkinen
harava	se on pitkulainen	löytyy vajasta	nurmikon siistimiseen
kynttilä	sitä poltetaan	se on tehty vahasta	sillä on sydänlanka
lapio	pitkävartinen	se on puutarhaväline	sen pää on litteä
neula	se on ohut	siinä on reikä	käytetään langan kanssa
nuoli	sillä on kärki	sillä on suora varsi	ammutaan jousella
peili	se on kiiltävä	löytyy kylpyhuoneesta	laittautumiseen
ruuvimeisseli	siinä on metalliosa	löytyy työkalupakista	voi olla ristipäinen
saha	se on litteän mallinen	löytyy usein vajasta	se on sahalaitainen
sakset	siinä on käsiosa	siinä on kaksi terää	hiusten leikkaamiseen
tikapuut	se on pitkänmallinen	niitä pitkin kiivetään	siinä on askelmat
vasara	se on painava	löytyy työkalupakista	sillä lyödään nauloja
veitsi	se voi olla vaarallinen	on terävä	ruokailuväline
ambulanssi	sillä on ratti	se kulkee teillä	ajaa punaisia päin
auto	sillä on moottori	ajaa paikasta toiseen	sillä on turvavyöt
bussi	sillä on renkaat	käyttö vaatii matkalipun	ajaa tiettyä reittiä
helikopteri	sillä on pyrstöosa	sillä on ohjaamo	pyörivät roottorit
juna	satoja metrejä pitkä	julkista liikennettä	päässä on veturi
laiva	löytyy meriltä	sillä on kapteeni	sisällä hyttejä
lentokone	siitä lähtee kova ääni	sillä on siivet	sillä lennetään
metro	käyttää sähköä	julkista liikennettä	oranssi Helsingissä
mopo	se on kulkupeli	kaksirenkainen	pieni moottoripyörä
pyörä	se on urheiluväline	sillä on soittokello	kutsutaan "fillariksi"
nosturi	käytetään rakentamiseen	sillä siirretään asioita	taloa korkeampi
rekka	painaa paljon	kulkee teillä	se kuljettaa rahtia
sukellusvene	se maksaa miljoonia	vedenalainen	varustettu torpedoilla
traktori	se kulkee moottorilla	apuna kyntämisessä	isot takarenkaat
trukki	sillä on renkaat	käytetään varastoissa	edessä on nostin
